comment,author,date,num_likes
지금 봐도 진짜 웅장해진다,금탱이,2023-02-01T14:53:27Z,0
"매일와서 듣고 있어요. 가사 한마디 한마디가 너무 좋고, 르르땅 음색도 너무 잘 어울려요!!
킹아!!",응애,2023-01-31T08:24:47Z,1
너무 좋아요 크흑흑,귤피차,2023-01-31T06:38:35Z,0
"2:47 다음 날이 어떤 하루가 될지 장담하지 못한다는 건, 어떤 날이라도 될 수 있단 것
3:02 다음 날은 ‘어떤’ 뒤를 쫓아서 가는게 아니라 지금으로 변해가는 것

크으 이게 노래 가사라니.. 이 정도면 국민 응원곡으로 써야하는 거 아님?",달러를 굴리자,2023-01-29T19:40:23Z,1
개귀여워ㅠㅠ,ᄒᄋᄅ,2023-01-24T04:51:13Z,1
노래 왜케 좋지 ㅋㅋㅋ 들으면 뭔가 울컥함,민이이이,2023-01-23T11:32:18Z,1
5:40 에서 왜 옷소매 사라짐?,똥갱,2023-01-21T06:25:08Z,0
ㅁㅊ,재생 목록,2023-01-20T15:05:47Z,0
나만 듣고 싶다,hat tie,2023-01-19T11:30:05Z,1
입대전 마지막곡,엄주식,2023-01-17T04:27:15Z,3
이게 나의 마스터미스,비구름,2023-01-16T22:20:00Z,0
"뒷북으로 듣는데다 이 노래도 처음 들어보는데 좋네요.
20세기 말에서 2000년 초반 일본 애니메이션 주제가 느낌 나면서 뭔가 그리운 느낌.",고광렬,2023-01-16T12:45:33Z,1
